SILVERCREST®,"Küchenorganizer, transparent","{""Merkmal"": "": temperaturbeständig von -20 bis 40 °C"", ""Maße"": "": ca. L 28 x B 18 x H 9 cm; ca. L 28 x B 14 x H 9 cm; ca. L 25,4 x B 15,2 x H 12,7 cm""}",N/A,N/A,3.99,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcp723534c8f3d1405994d45c9cd4248fc6.jpg"", ""https://www.lidl.de/assets/gcp2951896796b24d098a1e946c1b4bb1cd.jpg"", ""https://www.lidl.de/assets/gcp74e9a8f26db844f0a476160ddf270d1a.jpg"", ""https://www.lidl.de/assets/gcp723534c8f3d1405994d45c9cd4248fc6.jpg"", ""https://www.lidl.de/assets/gcp2951896796b24d098a1e946c1b4bb1cd.jpg"", ""https://www.lidl.de/assets/gcp74e9a8f26db844f0a476160ddf270d1a.jpg"", ""https://www.lidl.de/assets/gcp723534c8f3d1405994d45c9cd4248fc6.jpg"", ""https://www.lidl.de/assets/gcp2951896796b24d098a1e946c1b4bb1cd.jpg"", ""https://www.lidl.de/assets/gcp74e9a8f26db844f0a476160ddf270d1a.jpg""]}",Haushalt & Küche
LIVARNO home,"Küchenorganizer, 7-teilig","{""Set"": "": 7-teilig"", ""Maße"": "": gesamt: ca. 34 x 11,5 x 26,5 cm, Schneidebrett: ca. 32 x 26 cm""}",N/A,N/A,14.99,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcpdf37e007639542779c2a91687fd63c29.jpg"", ""https://www.lidl.de/assets/gcp9fe8f35a20194080933ed08b49f5a2f3.jpg"", ""https://www.lidl.de/assets/gcp69f8ed8871bd450f994388f1603f781e.jpg"", ""https://www.lidl.de/assets/gcpdf37e007639542779c2a91687fd63c29.jpg"", ""https://www.lidl.de/assets/gcp9fe8f35a20194080933ed08b49f5a2f3.jpg"", ""https://www.lidl.de/assets/gcp69f8ed8871bd450f994388f1603f781e.jpg"", ""https://www.lidl.de/assets/gcpdf37e007639542779c2a91687fd63c29.jpg"", ""https://www.lidl.de/assets/gcp9fe8f35a20194080933ed08b49f5a2f3.jpg"", ""https://www.lidl.de/assets/gcp69f8ed8871bd450f994388f1603f781e.jpg""]}",Haushalt & Küche
LIVARNO home,"Küchenutensilien, aus Edelstahl",N/A,N/A,N/A,4.99,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcp7e152fdc328847e6ab5ec1cd2b558faa.jpg"", ""https://www.lidl.de/assets/gcp180924b06f8a4b44837016bd0c6a4327.jpg"", ""https://www.lidl.de/assets/gcp9c7e0d474c37459ebc7611838b4eab1f.jpg"", ""https://www.lidl.de/assets/gcp7e152fdc328847e6ab5ec1cd2b558faa.jpg"", ""https://www.lidl.de/assets/gcp180924b06f8a4b44837016bd0c6a4327.jpg"", ""https://www.lidl.de/assets/gcp9c7e0d474c37459ebc7611838b4eab1f.jpg"", ""https://www.lidl.de/assets/gcp7e152fdc328847e6ab5ec1cd2b558faa.jpg"", ""https://www.lidl.de/assets/gcp180924b06f8a4b44837016bd0c6a4327.jpg"", ""https://www.lidl.de/assets/gcp9c7e0d474c37459ebc7611838b4eab1f.jpg""]}",Haushalt & Küche
BOSCH,"Küchenmaschine »MUMS2TW00«, 700 W, 3,8 l Rührschüssel","{""Leistung"": ""700 W"", ""Rührschüssel"": ""ca. 3,8 l"", ""Funktion"": ""4 Arbeitsstufen""}",-45%,N/A,99.99,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcpde5f0993d43b45d38a447fbb19f4fb08.jpeg"", ""https://www.lidl.de/assets/gcpab2b5008bd9b4c2a998cc80a8c167235.jpeg"", ""https://www.lidl.de/assets/gcp8547d2883d3148dc89e9a7ed8ee59f52.jpeg"", ""https://www.lidl.de/assets/gcpde5f0993d43b45d38a447fbb19f4fb08.jpeg"", ""https://www.lidl.de/assets/gcpab2b5008bd9b4c2a998cc80a8c167235.jpeg"", ""https://www.lidl.de/assets/gcp8547d2883d3148dc89e9a7ed8ee59f52.jpeg"", ""https://www.lidl.de/assets/gcpde5f0993d43b45d38a447fbb19f4fb08.jpeg"", ""https://www.lidl.de/assets/gcpab2b5008bd9b4c2a998cc80a8c167235.jpeg"", ""https://www.lidl.de/assets/gcp8547d2883d3148dc89e9a7ed8ee59f52.jpeg""]}",Haushalt & Küche
gorenje,"Geschirrspüler »GI642E90«, 13 Maßgedecke","{""Anzahl Maßgedecke"": "": 13"", ""Maße"": "": B 59,8 × H 81,5 × T 57,5 cm""}",-58%,N/A,322.98,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcp312b494d04014996b1c4e09f13d26728.jpeg"", ""https://www.lidl.de/assets/gcp2527095a6fa04f12945ee195d14efe05.jpeg"", ""https://www.lidl.de/assets/gcp85570c1af13c48d386866f347b993b04.jpeg"", ""https://www.lidl.de/assets/gcp312b494d04014996b1c4e09f13d26728.jpeg"", ""https://www.lidl.de/assets/gcp2527095a6fa04f12945ee195d14efe05.jpeg"", ""https://www.lidl.de/assets/gcp85570c1af13c48d386866f347b993b04.jpeg"", ""https://www.lidl.de/assets/gcp312b494d04014996b1c4e09f13d26728.jpeg"", ""https://www.lidl.de/assets/gcp2527095a6fa04f12945ee195d14efe05.jpeg"", ""https://www.lidl.de/assets/gcp85570c1af13c48d386866f347b993b04.jpeg""]}",Haushalt & Küche
BOSCH,Küchenmaschine »MUMS2AW01«,"{""Leistung"": "": 700 W"", ""Fassungsvermögen"": "": 3,8 l"", ""Arbeitsstufen"": "": 4""}",-36%,N/A,119.90,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcp40aecc67b49f4ed7972ecc5f0e3b5b4d.jpg"", ""https://www.lidl.de/assets/gcp68df677bf1284d4485cb050853d556cb.jpg"", ""https://www.lidl.de/assets/gcpf194c44b2ab340fa830846acd1fa33cd.jpg"", ""https://www.lidl.de/assets/gcp40aecc67b49f4ed7972ecc5f0e3b5b4d.jpg"", ""https://www.lidl.de/assets/gcp68df677bf1284d4485cb050853d556cb.jpg"", ""https://www.lidl.de/assets/gcpf194c44b2ab340fa830846acd1fa33cd.jpg"", ""https://www.lidl.de/assets/gcp40aecc67b49f4ed7972ecc5f0e3b5b4d.jpg"", ""https://www.lidl.de/assets/gcp68df677bf1284d4485cb050853d556cb.jpg"", ""https://www.lidl.de/assets/gcpf194c44b2ab340fa830846acd1fa33cd.jpg""]}",Haushalt & Küche
SILVERCREST® KITCHEN TOOLS,"Küchenmaschine »SKM 600 D4«, mit stufenloser Geschwindigkeitseinstellung",N/A,N/A,N/A,49.99,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcp750c7f86324c452fb48fa97ae49ace2b.jpg"", ""https://www.lidl.de/assets/gcp09e024012abb47278071b680ef5e086a.jpg"", ""https://www.lidl.de/assets/gcpae887e5d207144cab8fc43f02fd355df.jpg"", ""https://www.lidl.de/assets/gcp750c7f86324c452fb48fa97ae49ace2b.jpg"", ""https://www.lidl.de/assets/gcp09e024012abb47278071b680ef5e086a.jpg"", ""https://www.lidl.de/assets/gcpae887e5d207144cab8fc43f02fd355df.jpg"", ""https://www.lidl.de/assets/gcp750c7f86324c452fb48fa97ae49ace2b.jpg"", ""https://www.lidl.de/assets/gcp09e024012abb47278071b680ef5e086a.jpg"", ""https://www.lidl.de/assets/gcpae887e5d207144cab8fc43f02fd355df.jpg""]}",Haushalt & Küche
LIVARNO home,"Küchenarmatur, mit Wassersparfunktion (Eckig)","{""Material"": ""Messing verchromt"", ""Wassersparfunktion"": ""ja"", ""Energiesparfunktion"": ""ja""}",N/A,N/A,26.99,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcpe952e49a1d8f43bea4ec56cd8d6a20f2.jpeg"", ""https://www.lidl.de/assets/gcpfa51e371bd6e4a3c9ca65d8cbe137f46.jpeg"", ""https://www.lidl.de/assets/gcp07f3da8ac038492c8f593c4f0dbcc3b6.jpeg"", ""https://www.lidl.de/assets/gcpe952e49a1d8f43bea4ec56cd8d6a20f2.jpeg"", ""https://www.lidl.de/assets/gcpfa51e371bd6e4a3c9ca65d8cbe137f46.jpeg"", ""https://www.lidl.de/assets/gcp07f3da8ac038492c8f593c4f0dbcc3b6.jpeg"", ""https://www.lidl.de/assets/gcpe952e49a1d8f43bea4ec56cd8d6a20f2.jpeg"", ""https://www.lidl.de/assets/gcpfa51e371bd6e4a3c9ca65d8cbe137f46.jpeg"", ""https://www.lidl.de/assets/gcp07f3da8ac038492c8f593c4f0dbcc3b6.jpeg""]}",Haushalt & Küche
Schütte,"Küchenarmatur »LONDON«, mit herausziehbarem Auslauf","{""Farben"": ""verschiedene"", ""Merkmal"": ""mit 360° Schwenkbereich"", ""Maße"": ""ca. B 5,7 x H 29,8 x T 24,7 cm""}",-45%,N/A,65.51,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/gcp702e85d80e8c4ac1bed264ca9d9be982.jpg""]}",Haushalt & Küche
ECHTWERK,"Küchenhelfer, aus Edelstahl",N/A,-49%,N/A,9.99,2025-04-14 12:07:02,"{""images"": [""https://www.lidl.de/assets/2872c00c7bb0ee746be228422c902077.jpeg""]}",Haushalt & Küche
